time,open,high,low,close,MA,MA,MA,MA,Volume,Volume MA,%K,%D,K,D,Diluted EPS,RSI
1540519200,3000,3020,2980,2990,3310.35,3104.833333,3021,3002,66228600,91199465,32.35294118,25.95186223,34.71911961,39.194135,70.2363,47.38308038
1540778400,3000,3020,2950,2950,3306.95,3100.833333,3009.5,2982,51288900,89192095,40.68627451,31.13652869,37.05743339,36.64856961,70.2363,45.48365428
1540864800,2960,3030,2950,3030,3303.9,3097.166667,3005.5,2984,72385100,86193300,54.78883861,42.60935143,47.52846644,39.76833982,70.2363,49.72638633
1540951200,3050,3150,3030,3150,3301.5,3094.166667,3008,3024,218534400,93617170,72.43589744,55.97033685,67.54276265,50.70955416,70.2363,55.22803301
1541037600,3190,3250,3160,3200,3299.45,3090.666667,3018,3064,197180000,96117545,91.88034188,73.03502598,91.95835135,69.00986015,70.2363,57.27855161
1541124000,3240,3290,3190,3280,3298.1,3089.5,3033,3122,167275500,97208350,93.46405229,85.92676387,100,86.50037133,70.2363,60.33790449
1541383200,3260,3280,3220,3270,3296.5,3088.5,3048,3186,79594900,97945955,91.50326797,92.28255405,98.90623784,96.95486306,70.2363,59.77467262
1541469600,3280,3330,3260,3330,3295.2,3088.5,3063.5,3246,139465400,102359025,97.05882353,94.0087146,98.90623784,99.27082523,70.2363,62.01414907
1541556000,3340,3370,3310,3370,3294.2,3088.166667,3081.5,3290,162720800,107432135,98.03921569,95.53376906,98.90623784,98.90623784,70.2363,63.44241649
1541642400,3400,3490,3390,3450,3293.8,3093.333333,3108.5,3340,200247500,108669255,95.55555556,96.88453159,100,99.27082523,70.2363,66.12397058
1541728800,3430,3430,3330,3340,3292.8,3096.833333,3128,3352,115086300,108507435,77.03703704,90.21060276,89.86424261,96.25682682,70.2363,59.77758388
1541988000,3320,3360,3280,3280,3291.5,3098,3142,3354,77097900,108075155,46.60225443,73.06494901,74.74223217,88.20215826,70.2363,56.65549948
1542074400,3280,3360,3230,3350,3290.5,3103,3159.5,3358,101884200,109916360,33.09798092,52.24575746,63.79270252,76.1330591,70.2363,59.26804984
1542160800,3350,3420,3350,3350,3289.2,3105.833333,3173.5,3354,113793200,111601915,33.66778149,37.78933895,62.97893026,67.17128832,70.2363,59.26804984
1542247200,3370,3420,3330,3410,3288.1,3110.166667,3189.5,3346,106887100,113689600,60.76923077,42.5116644,70.6737079,65.81511356,70.2363,61.47349508
1542333600,3430,3550,3420,3490,3287.45,3113.833333,3213,3376,173768700,118328550,72.46794872,55.63498699,78.54166595,70.7314347,70.2363,64.19448033
1542592800,3540,3540,3450,3520,3286.95,3118,3236.5,3424,78672100,119821850,87.29166667,73.50961538,87.96062466,79.05866617,70.2363,65.16562137
1542765600,3420,3470,3350,3430,3285.85,3118.833333,3257,3440,138069100,123797595,72.44318182,77.4009324,85.64643594,84.04957551,70.2363,60.0244927
