time,open,high,low,close,Volume,Volume MA,MA,MA,MA,MA,%K,%D,K,D,Diluted EPS,RSI
1534989600,3180,3270,3130,3270,155835200,112686265,3172,3199,3044.5,3364.425,72.7777777777778,49.50617283950627,30.626089292034447,23.238606446608994,61.2345,54.95635873692956
1535076000,3270,3290,3230,3270,96811700,113929075,3184,3213,3049.1666666666665,3365.15,85.55555555555559,66.66666666666679,36.22130918836652,27.610342563610335,61.2345,54.95635873692956
1535335200,3320,3380,3290,3380,112367400,115312640,3250,3230,3056.5,3366.575,97.22222222222224,85.18518518518529,50.53123157028008,39.126210016893616,61.2345,58.503403221702975
1535421600,3330,3380,3300,3330,99638200,117559290,3280,3242,3066,3367.625,90.81196581196583,91.19658119658129,53.180177794830165,46.644239517825525,61.2345,56.379154259296435
1535508000,3260,3300,3250,3290,79096600,118171305,3308,3252.5,3075.5,3368.45,81.5897435897436,89.87464387464395,52.714830413554814,52.14207992622162,61.2345,54.706412488762076
1535594400,3290,3310,3190,3190,83543000,116975535,3292,3258.5,3080.6666666666665,3368.8,48.25641025641028,73.55270655270664,38.26921245336148,48.05474022058209,61.2345,50.74440820659033
1535680800,3180,3180,3110,3180,142665100,116753875,3274,3258,3082.6666666666665,3369.15,29.975308641975328,53.27382082937646,27.0637174976407,39.34925345485227,61.2345,50.360486193804846
1535940000,3180,3220,3160,3170,64396700,112053370,3232,3254,3083.5,3369.4,16.049382716049404,31.42703387147839,18.23170627447736,27.854878741826457,61.2345,49.96258420514145
1536026400,3200,3200,3090,3110,76142400,110831005,3188,3243,3081.1666666666665,3369.25,19.079685746352435,21.701459034792446,12.35490761704718,19.216777129721688,61.2345,47.58787647402808
1536112800,3070,3070,2900,2930,212574400,114294180,3116,3219,3077.6666666666665,3367.95,12.87673482795436,16.00193443011879,6.268996266613667,12.285203386046012,61.2345,41.37738508988796
1536199200,2910,2990,2910,2960,205998900,120123925,3070,3199.5,3075.6666666666665,3366.75,11.719327420546954,14.558582664951308,2.9662537738895516,7.196719219183407,61.2345,42.6895505352355
1536285600,2980,3030,2960,3030,141556200,122666225,3040,3184.5,3074,3365.65,22.230691056910587,15.60891776847069,8.733199698337213,5.989483246280085,61.2345,45.676085784516275
1536544800,3030,3030,2960,2970,86547600,123510890,3000,3166.5,3071.6666666666665,3364.3,27.56944444444446,20.506487640634056,12.231461188822204,7.97697155368293,61.2345,43.62493210859186
